Rank,Global Rank,Institution,Country,Sector,Best Country Quartile
239,3696,Embry-Riddle Aeronautical University *,USA,Universities,2
240,3731,Prairie View A&M University,USA,Universities,2
241,3741,Albany Medical College,USA,Universities,2
242,3753,"University of Connecticut, Avery Point",USA,Universities,2
243,3773,"University of Wisconsin, Milwaukee",USA,Universities,2
244,3780,"University of Maine, Orono",USA,Universities,2
245,3783,"University of Minnesota, Duluth",USA,Universities,2
246,3787,Kennesaw State University,USA,Universities,2
247,3790,Eastern Virginia Medical School,USA,Universities,2
248,3844,The Catholic University of America,USA,Universities,3
249,3852,"University of Hawaii, Hilo",USA,Universities,2
250,3862,Ohio University,USA,Universities,2
251,3894,"University of Massachusetts, Dartmouth",USA,Universities,2
252,3938,Teachers College of Columbia University,USA,Universities,1
253,3943,Saint John's University,USA,Universities,2
254,3957,University of Dayton,USA,Universities,2
255,3972,"University of Massachusetts, Boston",USA,Universities,2
256,3985,"University of North Carolina, Greensboro",USA,Universities,2
257,3998,SUNY Downstate Medical Center,USA,Universities,3
258,4046,Northern Illinois University,USA,Universities,2
259,4055,Fordham University,USA,Universities,2
260,4067,"City University of New York, Queens College",USA,Universities,2
261,4085,Marshall University,USA,Universities,2
262,4122,New York Institute of Technology *,USA,Universities,2
263,4125,Rowan University,USA,Universities,3
264,4140,Western Michigan University,USA,Universities,2
265,4155,New Mexico State University,USA,Universities,2
266,4164,University of Denver,USA,Universities,2
267,4190,Clarkson University,USA,Universities,2
268,4194,"City University of New York, John Jay College of Criminal Justice",USA,Universities,2
269,4218,"Southern Illinois University, Carbondale *",USA,Universities,3
270,4244,"Washington State University, Vancouver Campus",USA,Universities,2
271,4253,University of Northern Colorado *,USA,Universities,2
272,4260,University of Tulsa,USA,Universities,2
273,4301,Rosalind Franklin University of Medicine and Science,USA,Universities,2
273,4301,Oakland University,USA,Universities,3
275,4311,"California State University, Northridge",USA,Universities,2
276,4324,"Baruch College, City University of New York",USA,Universities,2
277,4328,University of New Haven,USA,Universities,2
278,4349,"University of Alaska, Fairbanks",USA,Universities,2
279,4358,"University of Connecticut, Greater Hartford",USA,Universities,2
280,4400,University of South Alabama *,USA,Universities,3
280,4400,Boise State University *,USA,Universities,2
282,4421,University of Arkansas at Little Rock,USA,Universities,2
283,4442,University of the Pacific,USA,Universities,2
284,4472,New York Medical College,USA,Universities,2
285,4509,Harvey Mudd College,USA,Universities,2
286,4550,"California State University, Bakersfield",USA,Universities,3
287,4563,Lamar University,USA,Universities,2
288,4622,"University of Alabama, Huntsville",USA,Universities,3
288,4622,University at Texas Rio Grande Valley,USA,Universities,3
290,4629,University of South Dakota,USA,Universities,3
291,4659,"Nova Southeastern University, Estados Unidos",USA,Universities,2
291,4659,University of Southern Mississippi,USA,Universities,3
293,4680,North Carolina Central University,USA,Universities,3
294,4690,Jackson State University,USA,Universities,2
295,4707,American University,USA,Universities,2
296,4726,Arkansas State University,USA,Universities,2
297,4740,Borough of Manhattan Community College,USA,Universities,2
298,4753,Charles R. Drew University of Medicine & Science,USA,Universities,3
299,4756,Wright State University,USA,Universities,3
300,4764,Villanova University,USA,Universities,3
